title,name,email
Monsieur,RABY,l.thevenoux@ville-de-jarnac.fr
Monsieur,LACOMBE,mairie@julienne.fr
Monsieur,PISSOT,mairie.mainxe@orange.fr
Monsieur,COR,communedemerignac@orange.fr
Monsieur,LAURENT,mairie.lesmetairies@wanadoo.fr
Monsieur,DUPONT,mairie-nercillac@wanadoo.fr
Monsieur,MEUNIER,reparsac.mairie@wanadoo.fr
Madame,GIRARD,mairie-ste-severe@wanadoo.fr
Monsieur,ROY,mairie.sigogne@wanadoo.fr
Monsieur,BRETAUD,mairie.triaclautrait@wanadoo.fr
Monsieur,POIRIER,mairiedebardenac@wanadoo.fr
Monsieur,PELLISSIER,bazac.mairie@wanadoo.fr
Monsieur,TACHET,mairie.bellon@wanadoo.fr
Monsieur,BORDE,mairiedebriesouschalais@orange.fr
Monsieur,MAURY,de-chalais.commune@wanadoo.fr
Monsieur,DI VIRGILIO,mairiedecourlac@wanadoo.fr
Madame,SEBILLAUD,mairie.curac@wanadoo.fr
Monsieur,DROILLARD,mairie.des.essards@cegetel.net
Madame,BOIZOT,medillac.mairie@wanadoo.fr
Monsieur,APPASAWMY,mairie.orival@wanadoo.fr
Monsieur,PANNETIER,rioux-martin@orange.fr
Madame,TUGAL,stavit.mairie@wanadoo.fr
Monsieur,PAPILLAUD,mairie.stquentindechalais@sfr.fr
Madame,TERRACOL,mairie.stromain@wanadoo.fr
Monsieur,LAFAYE,mairie-yviers@wanadoo.fr
Monsieur,DONNARY,mairie.ecuras@wanadoo.fr
Monsieur,CHAMOULEAUD,mairie.eymouthiers@wanadoo.fr
Monsieur,FRANÇOIS,mairie@montbron.fr
Monsieur,BERNARD,mairie-dorgedeuil@wanadoo.fr
Madame,BERNARD,mairiederouzede@wanadoo.fr
Monsieur,CANIT,mairie.stsornin@wanadoo.fr
Monsieur,VARNEAU,vilhonneurcitedelapierre@wanadoo.fr
Monsieur,CAILLETEAU,mairiedevouthon@yahoo.fr
Monsieur,CHARENAT,Cellettes.mairie@wanadoo.fr
Monsieur,BOIREAUD,mairie.fontclaireau@wanadoo.fr
Monsieur,RENON,mairie.fontenille@wanadoo.fr
Monsieur,KAUD,mairie.juille@orange.fr
Monsieur,CHAUSSEPIED,mairie.lonnes@nordcharentewireless.com
Monsieur,BEAUFORT,mairie.luxe@wanadoo.fr
Monsieur,BERTHAULT,mairie.mainedeboixe@wanadoo.fr
Monsieur,CROIZARD,mairie.mansle@wanadoo.fr
Madame,RIVOLET,mairie.nanclars@wanadoo.fr
Monsieur,BERTRAND,mairie.puyreaux@orange.fr
Monsieur,GACHET,mairiefaure@wanadoo.fr
Monsieur,BOURABIER,mairie.saint.angeau@wanadoo.fr
Madame,COLIN,mairie-saint-ciers@wanadoo.fr
Monsieur,BOUCHAUD,mairie.saintgroux@wanadoo.fr
Madame,BRUSHINI,mairie.sainte-colombe@orange.fr
Monsieur,GUITTON,mairie.villognon@wanadoo.fr
Monsieur,ANDRE,mairie.brettes@wanadoo.fr
Monsieur,PAGNOUX,mairie.chevrerie@wanadoo.fr
Monsieur,GEOFFROY,mairiedecourcome@wanadoo.fr
Monsieur,ETOURNEAUD,mairie-empure@wanadoo.fr
Madame,RAVAUD,la-foret-de-tesse@wanadoo.fr
Monsieur,PAPOT,mairie.longre@wanadoo.fr
Madame,LERICOLAIS,mairielamagdeleine@wanadoo.fr
Madame,LEMERCIER,mairiemontjean@wanadoo.fr
Monsieur,GALL,mairie.paizay-naudouin@wanadoo.fr
Monsieur,LASSOUDIÈRE,mairiederaix@wanadoo.fr
Monsieur,FERRET,commune.souvigne@wanadoo.fr
Monsieur,MERLE,communeletheilrabier@wanadoo.fr
Madame,PRÉVOST,mairie-villefagnan@wanadoo.fr
Monsieur,POURAGEAUD,mairie.villiersleroux@wanadoo.fr
Monsieur,MONNET,mairie.aubeville@wanadoo.fr
Monsieur,MAURICE,mairiedebecheresse@wanadoo.fr
Monsieur,CHEVALIER,mairie.bessac@wanadoo.fr
Monsieur,SALLÉE,mairie-blanzac@wanadoo.fr
Monsieur,ARVOIR,mairie.chadurie@wanadoo.fr
Monsieur,SAUMON,mairie.champagne-vigny@wanadoo.fr
Monsieur,MAUGET,mairie.cressacsaintgenis@wanadoo.fr
Monsieur,BARON,mairie.etriac@wanadoo.fr
Monsieur,DECELLE,mairie.jurignac@wanadoo.fr
Monsieur,BARBOT,mairie.de.mainfonds@wanadoo.fr
Monsieur,VERGNION,mairiepereuil@wanadoo.fr
Monsieur,MONTENON,mairie-perignac@wanadoo.fr
Monsieur,DUMET,mairie.plassac@wanadoo.fr
Madame,ROCHAIS,mairie.saintleger16@wanadoo.fr
Monsieur,MOTEAU,commune-de-voulgezac@wanadoo.fr
Monsieur,DAMEROSE,mairiecellefrouin@wanadoo.fr
Monsieur,FOURGEAUD,mairie.chasseneuil@wanadoo.fr
Monsieur,PRESSAC,lespinsmairie@wanadoo.fr
Madame,GUIMARD,saint-mary@wanadoo.fr
Monsieur,PÉRINET,mairie@suaux.fr
Monsieur,CHEMINADE,mairiedelatache@wanadoo.fr
Monsieur,MARSAC,mairiegenouillac@wanadoo.fr
Monsieur,MALHERBE,mazieres.mairie@wanadoo.fr
Monsieur,CADET,mairiedenieuil@orange.fr
Monsieur,FAUBERT,mairie.laperuse@wanadoo.fr
Monsieur,DUFAUD,mairie@mairie-roumazieres-loubert.com
Monsieur,DUPIT,mairie.suris@wanadoo.fr
Monsieur,CAMPO,mairie@asnieres-sur-nouere.fr
Monsieur,POPELARD,mairie.champmillon@wanadoo.fr
Monsieur,BURBAUD,mairiedouzat@wanadoo.fr
Monsieur,CHAGNEAUD,mairie.hiersac@wanadoo.fr
Monsieur,DESPORT,communemoulidars@wanadoo.fr
Monsieur,LOUIS,mairie.saint-saturnin@wanadoo.fr
Monsieur,GRAVERAUD,ambleville16.mairie@wanadoo.fr
Madame,IDIER,mairie-angeduc@wanadoo.fr
Monsieur,MEURAILLON,accueil@mairie-barbezieux.fr
Monsieur,CHATELLIER,mairie.barret@wanadoo.fr
Monsieur,ÉLION,mairie-brie-sous-barbezieux@wanadoo.fr
Monsieur,TUTARD,mairie.challignac@wanadoo.fr
Monsieur,FOUGERE,mairie.criteuil-la-magdeleine@wanadoo.fr
Monsieur,RAVAIL,mairiedeguimps@wanadoo.fr
Monsieur,BONNAUD,mairie.lachaise@wanadoo.fr
Monsieur,DESMORTIER,mairie-lagarde-sur-le-ne@alsatis.net
Monsieur,MOUCHEBOEUF,mairie-lamerac@wanadoo.fr
Monsieur,BERGEON,mairie-montchaude@wanadoo.fr
Monsieur,HUNEAU,mairie.saintaulais@wanadoo.fr
Monsieur,VEPIERRE,mairie.saint-bonnet@wanadoo.fr
Madame,MONNEREAU,mairie-st-medard-de-bzx@wanadoo.fr
Monsieur,DUBROCA,mairie-saint-palais@wanadoo.fr
Monsieur,NAU,salles.de.barbezieux@wanadoo.fr
Monsieur,PETIT,mairie.vignolles@wanadoo.fr
Monsieur,MORAND,mairie.cherves.chatelars@wanadoo.fr
Monsieur,DUTEIL,mairie.lesignac@wanadoo.fr
Monsieur,GAILLARD,le-lindois.cne@wanadoo.fr
Monsieur,COMPAIN,mairie.massignac@wanadoo.fr
Monsieur,COQ,commune-de-mazerolles@wanadoo.fr
Monsieur,TRAPATEAU,mairie.montemboeuf@wanadoo.fr
Monsieur,BRANDY,mouzon.mairie@wanadoo.fr
Madame,CHAGNAUD,mairiederoussines@wanadoo.fr
Monsieur,BOUTENEGRE,mairie.stadjutory@wanadoo.fr
Madame,RENAUD,communedesauvagnac@orange.fr
Madame,GONDARIZ,mairieverneuil@orange.fr
Monsieur,SOULAT,mairievitracstvincent@wanadoo.fr
Monsieur,SELIN,blanzaguet.mairie@wanadoo.fr
Monsieur,VARAILLON-LABORIE,commune-charmant@wanadoo.fr
Monsieur,BROUANT,mairie-de-chavenat@alsatis.net
Monsieur,EPAUD,mairie@combiers.fr 
Monsieur,PETIT,mairie.edon@wanadoo.fr
Monsieur,LEYMERIE,gardeslepontaroux@wanadoo.fr
Monsieur,LAGARDE,mairie-de-gurat@wanadoo.fr
Monsieur,BENEULT,mairie.juillaguet@orange.fr
Monsieur,JOBIT,mairie.magnaclavalette@wanadoo.fr
Monsieur,GUILLON,commune.ronsenac@wanadoo.fr
Madame,VELLA-FRUGIER,commune.rougnac@wanadoo.fr
Monsieur,PARNAUDEAU,mairiedevauxlavalette@wanadoo.fr
Monsieur,SALLÉE,contact@villebois-lavalette.com
Monsieur,BLANCHON,mairie.coulonges@wanadoo.fr
Monsieur,CHABAUTY,contact@montignac-charente.fr
Monsieur,LACOEUILLE,mairie.stamboixe@wanadoo.fr
Monsieur,DE LUSTRAC,mairie.vars16@wanadoo.fr
Madame,BUTON,mairie-vervant@wanadoo.fr
Monsieur,VIGIER,mairie-vouharte@orange.fr
Monsieur,STASIAK,mairie@xambes.fr
Madame,PIERRE,mairie@mairie-lisledespagnac.fr
Monsieur,MEYER,mairie-benest@wanadoo.fr
Monsieur,DEMON,mairie-lebouchage@wanadoo.fr
Madame,JOUARON ,mairie-champagne@wanadoo.fr
Madame,DEBORD,mairie-chassiecq@wanadoo.fr
Monsieur,PERROT,mairie-st.coutant@wanadoo.fr
Monsieur,LASSIER,mairie-turgon@wanadoo.fr
Monsieur,ROLLAND,mairie-vxcerier@wanadoo.fr
Monsieur,BARRIER,mairie-vxruffec@wanadoo.fr
Monsieur,DELÉTOILE,mairie@baignes-sainte-radegonde.fr
Monsieur,JOLLY,mairie-bors-de-b@wanadoo.fr
Monsieur,MARRAUD,mairie.chantillac@wanadoo.fr
Madame,FOUASSIER,mairie.condeon@wanadoo.fr
Monsieur,SAUVAITRE,mairiereignac@wanadoo.fr
Monsieur,DESSE,commune-de-le-tatre@orange.fr
Monsieur,HUGUES,mairie-touverac@wanadoo.fr
Monsieur,KALAI,mairie@breville.org
Monsieur,RIFFAUD,com.cherves-richt@wanadoo.fr
Monsieur,GOIS,commune.mesnac@wanadoo.fr
Monsieur,SOUCHAUD,mairie.stsulpicedecognac@wanadoo.fr
Monsieur,NICOLAS,secretariat@mairie-charras.fr
Monsieur,BROUILLET,secretariat@chazelles.fr
Monsieur,DELAGE,mairie.feuillade16@wanadoo.fr
Madame,BERNARD,Cne.grassac@wanadoo.fr
Monsieur,DOMINICI,mairie@mainzac16.fr
Monsieur,BORIE,mairie-de-marthon@wanadoo.fr
Madame,COMBEAU,mairie.st-germain@wanadoo.fr
Madame,FIOLEAU,souffrignac.mairie@orange.fr
Monsieur,MERCIER,mairie.aubeterre-sur-dronne@wanadoo.fr
Monsieur,BEGUERIE,mairiebonnes@wanadoo.fr
Monsieur,CROCHET,mairie.laprade@wanadoo.fr
Monsieur,DÉSERT,communemontignaclecoq@wanadoo.fr
Madame,BODET,mairie.nabinaud@wanadoo.fr
Monsieur,ANDREU,commdepaluaud@wanadoo.fr
Monsieur,MONGET,communedepillac@wanadoo.fr
Monsieur,RIVIÈRE,mairie-st.severin@wanadoo.fr
Monsieur,DAURÉ,accueil@lacouronne.fr 
Monsieur,BRUNETEAU,contact@puymoyen.fr
Madame,CHIRON,mairie.voeuil@wanadoo.fr
Monsieur,ANDRIEUX,mairiedebouex@wanadoo.fr
Madame,DELAGE,mairie.dignac@wanadoo.fr
Monsieur,THOMAS,mairie@mairie-dirac.fr
Monsieur,TAMAGNA,fouquebrune@wanadoo.fr
Monsieur,CHOISY,mairie.garat@wanadoo.fr
Monsieur,VEAUX,mairie.sers16@wanadoo.fr
Madame,BREARD,mairietorsac@wanadoo.fr
Madame,LACROIX,mairie.vouzan@wanadoo.fr
Monsieur,ROUGIER,mairie.brigueuil.16@wanadoo.fr
Monsieur,SOUPIZET,mairie.lesterps@wanadoo.fr
Monsieur,SAVY,mairie.montrollet@wanadoo.fr
Monsieur,VALADEAU,mairie-stchristophe@wanadoo.fr
Monsieur,VITEL,mairiesaulgond@wanadoo.fr
Monsieur,COURARI ,mairie@balzac.fr
Madame,FILLOUX,courrier@champniers.fr
Monsieur,FRICHETEAU,mairie@vindelle.fr
Monsieur,PEREZ,mairie.de.claix@orange.fr 
Monsieur,CARTERET,mairie.mouthiers@wanadoo.fr
Monsieur,BONICHON,mairie.nersac@wanadoo.fr
Monsieur,ROY,mairie@roulletestephe.fr
Monsieur,MARTIAL,mairie.sireuil@wanadoo.fr
Monsieur,ROUSSEAU,mairie.beaulieusursonnette@gmail.com
Monsieur,MATHIAS,grand.madieu@wanadoo.fr
Madame,RAYNAUD,communedelussac@wanadoo.fr
Monsieur,MADIER,communedeparzac@orange.fr
Monsieur,BAUDET,mairie.saint.claud@cegetel.net
Monsieur,DUPUY,mairiestlaurentdeceris@wanadoo.fr
Madame,CHEMINADE,mairie.aunac@wanadoo.fr
Madame,SOULET,communedebayers@wanadoo.fr
Monsieur,ESTEBAN,mairie.chenommet@wanadoo.fr
Madame,VERGEZ,mairiedechenon@wanadoo.fr
Madame,DUCLOUX,mairie.couture16@wanadoo.fr
Monsieur,CAINE,mairie.licheres@wanadoo.fr
Monsieur,CORNU,mairie.mouton@wanadoo.fr
Madame,BEAU,mairie.moutonneau@wanadoo.fr
Monsieur,CHARRIAUD,mairie.saintfront@wanadoo.fr
Monsieur,DUDOUIT,stsulpicederuffec@wanadoo.fr
Madame,SOURY,valence.mairie@wanadoo.fr
Madame,JABOIN,mairie.ventouse@wanadoo.fr
Madame,GODICHAUD,mairie.saint.michel@wanadoo.fr
Monsieur,ARSICAUD,mairie.berneuil@wanadoo.fr
Monsieur,TESSONNEAU,mairie-boisbreteau@wanadoo.fr
Monsieur,MAUDET,mairie.brossac@wanadoo.fr
Monsieur,AMBAUD,mairie.chatignac@wanadoo.fr
Madame,GOUFFRANT,mairie.chillac@wanadoo.fr
Monsieur,GADRAT,mairie.guizengeard@wanadoo.fr
Monsieur,BIZE,mairie.oriolles@wanadoo.fr
Monsieur,DE CASTELBAJAC,commune.passirac@wanadoo.fr
Madame,AUBRIT,st-felix.mairie@orange.fr
Monsieur,FAVREAU,mairie-saint-vallier@wanadoo.fr
Monsieur,GOHIN,commune.sainte-souline@wanadoo.fr
Monsieur,BODET,mairie.sauvignac@nordnet.fr
Monsieur,CATRAIN,mairiedalloue@orange.fr
Monsieur,ROUGIER,mairie-ambernac@wanadoo.fr
Monsieur,BOUVART,mairie-epenede@wanadoo.fr
Monsieur,QUESNE,mairie-hiesse@wanadoo.fr
Monsieur,LEGENDRE,mairie-pleuville@wanadoo.fr
Monsieur,BUISSON,mairie-abzac@orange.fr
Monsieur,AUDOIN,mairie.ansac@wanadoo.fr
Monsieur,MARTINEAU,mairie.brillac278@orange.fr
Monsieur,DUPRE,contact@mairie-confolens.fr 
Monsieur,FOURGEAUD,mairie-esse@wanadoo.fr
Monsieur,PINAUD,communelessac@wanadoo.fr
Monsieur,DEDIEU,mairie.manot@orange.fr
Monsieur,TELMAR,mairie-oradourfanais@wanadoo.fr
Monsieur,GAULTIER,mairie.st.germain@wanadoo.fr
Monsieur,DELAGE,mairiestmaurice@wanadoo.fr
Monsieur,SEGUINAR,mairie.verteuilsurcharente@wanadoo.fr
Monsieur,GIRAUD-BERNARD,mairieanais@wanadoo.fr
Monsieur,LIOT,mairie@aussac-vadalle.fr
Monsieur,MERLE,mairie@coulgens.fr
Monsieur,SAVIN,mairie@jauldes.fr
Monsieur,DANÈDE,mairie.tourriers@wanadoo.fr
Monsieur,SEVRIT,mairie.villejoubert@wanadoo.fr
Monsieur,ACQUIER,mairie@marsac.fr
Madame,GAILLARD,mairie-stgenis-hiersac@wanadoo.fr
Monsieur,BUISSON,mairie@brie.fr
Monsieur,CONTAMINE,mairie@magnacsurtouvre.fr
Monsieur,PERSYN,commune-de-mornac@wanadoo.fr
Monsieur,TRICOCHE,mairie@ville-ruellesurtouvre.fr
Madame,BAPTISTE,mairie@touvre.fr
Monsieur,LUCAS,montboyer.mairie@wanadoo.fr
Monsieur,GRIMAUD,mairielesadjots@wanadoo.fr
Monsieur,DUPUIS,mairie-barro@wanadoo.fr
Monsieur,VRIGNON,mairie.bernac16@orange.fr
Monsieur,WISSER,mairie.bioussac@wanadoo.fr
Monsieur,DEMAILLE,mairie-condac@wanadoo.fr
Monsieur,SAINT-LOUIS,communelafaye@orange.fr
Madame,RAGONNAUD,mairie.londigny@orange.fr
Monsieur,VILLAT,nanteuil-en-vallee.mairie@wanadoo.fr
Madame,PERRIN,communedepoursac@wanadoo.fr
Monsieur,CHARBONNEAU,direction.generale@mairie-ruffec.fr
Monsieur,BALLON,communedestgeorges@wanadoo.fr
Monsieur,RIVALLAND,mairie.stgourson@wanadoo.fr
Monsieur,TROUVÉ,mairie.stmartinduclocher@orange.fr
Monsieur,SORTON,mairie.salles-de-villefagnan@wanadoo.fr
Madame,DORFIAC,mairie-taize.aizie@wanadoo.fr
Monsieur,TERRASSIER,mairie.tuzie@wanadoo.fr
Monsieur,VIGIER,mairie.villegats@wanadoo.fr
Monsieur,DOLIMONT,saintyrieix-16@saintyrieix-16.fr
Monsieur,MARCEAU,mairie.st.meme.les.carrieres@wanadoo.fr
Monsieur,ETIENNE,mairiefleac@wanadoo.fr
Monsieur,GERMANEAU,mairie-linars@wanadoo.fr
Monsieur,DUROCHER,mairie.troispalis@wanadoo.fr
Monsieur,NEBOUT,mairie@mairie-soyaux.fr
Monsieur,FOUNTAINE,mairie@ville-larochelle.fr
Monsieur,DOURTHE,mairie@bussac-sur-charente.com
Monsieur,JALLAIS,secretariat@lachapelle-des-pots.fr
Monsieur,BIGOT,courcoury@mairie17.com
Monsieur,TAILLASSON,le.douhet@mairie17.com
Monsieur,CLASSIQUE,mairie@fontcouverte17.fr
Monsieur,SIMON,mairie-les-gonds@wanadoo.fr
Monsieur,ROUX,saint-vaize@mairie17.com
Madame,LIBOUREL,mairie.venerand@wanadoo.fr
Monsieur,MACHON,info@ville-saintes.fr
Monsieur,BOUFFARD,mairie@sgdd.fr
Monsieur,QUILLET,contact@loix.fr
Monsieur,SALLAFRANQUE,mairie.mornac.seudre@wanadoo.fr
Monsieur,ROY,contact@commune-arces-sur-gironde.fr
Monsieur,MAIGRE,barzan@mairie17.com
Monsieur,BREMAUD,boutenac-touvent@orange.fr
Monsieur,GIRERD,brie.sous.mortagne@mairie17.com
Monsieur,DELAUNAY,chenac.saint.seurin.duzet@mairie17.com
Monsieur,HILLAIRET,mairie@cozes.com
Madame,MARTIN,mairie.epargnes@wanadoo.fr
Monsieur,VALLEE,floirac@mairie17.com
Monsieur,POURPOINT,grezac@mairie17.com
Monsieur,CHATELIER,meursac@mairie17.com
Monsieur,FAURE,mairie-mortagne@smic17.fr
Madame,CARRÉ,semussac@mairie17.com
Monsieur,LOTH,talmont.sur.gironde@mairie17.com
Monsieur,MOULINEAU,thaims@mairie17.com
Monsieur,BURNET,mairie@iledaix.fr
Monsieur,JOURDAIN,chamouillac@mairie17.com
Monsieur,PLAT,mairie.chartuzac@wanadoo.fr
Monsieur,GEAY,mairie.chaunac@orange.fr
Monsieur,BOUYER,mairie.corignac@wanadoo.fr
Monsieur,ARTHAUD,mairie-courpignac@wanadoo.fr
Monsieur,CARRÉ,mairie-de-coux@wanadoo.fr
Monsieur,THOMAS,mairie.expiremont@wanadoo.fr
Monsieur,COUÉ,mairie-jussas@wanadoo.fr
Monsieur,SEGUIN,mairie.messac@wanadoo.fr
Monsieur,LALANDE,mairie@ville-montendre.fr
Monsieur,CHARLASSIER,pommiers.moulons@orange.fr
Monsieur,AMIAUD,mairie-rouffignac@orange.fr
Monsieur,ROZE,salignac-de-mirambeau@mairie17.com
Monsieur,CHEF,soumeras@wanadoo.fr
Monsieur,DOUSSIN,mairiedesousmoulins@wanadoo.fr
Monsieur,CHASSELOUP,tugeras@mairie17.com
Monsieur,BOURSIER,mairie.vibrac@wanadoo.fr
Monsieur,DECOURT,mairie@meschers.com
Monsieur,GESLIN,accueil@esnandes.fr
Monsieur,ALGAY,lhoumeau@mairie17.com
Monsieur,PINEAU,mairie@marsilly.fr
Monsieur,LAMBERT,mairie@nieul-sur-mer.fr
Monsieur,PÉREZ ,st.xandre@mairie17.com
Monsieur,CARON,mairie@ville-dompierre-sur-mer.fr
Monsieur,GRAU,accueil@mairie-lagord.fr
Monsieur,BROSSARD,mairie-allas-bocage@orange.fr
Monsieur,DURET,boisredon@mairie17.com
Madame,VALLIER,consac@mairie17.com
Madame,RODEAU,mirambeau.mairie@orange.fr
Monsieur,BOUSSION,nieul.levirouil@mairie17.com
Monsieur,NIVARD,saint-bonnet-sur-gironde@wanadoo.fr
Monsieur,CAPPELAERE,saint.dizant.du.bois@mairie17.com
Monsieur,BERNARD,st.georges.des.agouts.mairie@wanadoo.fr
Madame,ROBERT,st.martial.de.mirambeau@mairie17.com
Madame,PIASECKI,st.sorlin.de.conac@mairie17.com
Monsieur,ROUSSEAU,st.thomas.de.conac@mairie17.com
Monsieur,PAIN,semillac@mairie17.com
Monsieur,BERTRAND,semoussac@mairie17.com
